epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.955,2.21785,4.95256,2.01245,0.76443,0.71216,0.7163,0.36896,1.62671,1.31164,1.74007,0.00332953,0.00332953,0.00332953
2,473.593,1.93261,2.44477,1.84437,0.645,0.59351,0.5682,0.27415,1.70937,1.78811,1.85491,0.00664087,0.00664087,0.00664087
3,701.477,2.11328,2.89877,2.01818,0.64102,0.54008,0.51983,0.20916,1.85117,3.25117,1.96153,0.00993022,0.00993022,0.00993022
4,931.225,2.16666,2.96546,2.07801,0.53673,0.50477,0.46108,0.19817,1.77708,2.05383,1.97207,0.009901,0.009901,0.009901
5,1159.89,2.08454,2.78214,2.0519,0.68003,0.61069,0.60238,0.28234,1.6809,1.81898,1.89608,0.009868,0.009868,0.009868
6,1388.9,1.96109,2.57417,1.95943,0.7559,0.57347,0.6199,0.31523,1.63386,1.76764,1.8287,0.009835,0.009835,0.009835
7,1617.97,1.99432,2.58894,2.0025,0.6849,0.5792,0.59913,0.30612,1.67134,1.73519,1.88123,0.009802,0.009802,0.009802
8,1832.91,1.89124,2.46748,1.92048,0.68937,0.63263,0.64313,0.32566,1.61431,1.71636,1.87425,0.009769,0.009769,0.009769
9,2041.88,1.89009,2.4086,1.91788,0.71861,0.63073,0.66172,0.35274,1.61107,1.60981,1.82662,0.009736,0.009736,0.009736
10,2270.28,1.87674,2.41197,1.90968,0.70004,0.62797,0.65374,0.33948,1.5956,1.51804,1.82913,0.009703,0.009703,0.009703
11,2498.7,1.84008,2.33142,1.88077,0.71289,0.64599,0.64863,0.34678,1.55591,1.66517,1.79393,0.00967,0.00967,0.00967
12,2719.77,1.82282,2.29441,1.87331,0.77286,0.62118,0.68198,0.38511,1.5376,1.47724,1.80596,0.009637,0.009637,0.009637
13,2937.88,1.77116,2.16648,1.84313,0.75199,0.6886,0.71198,0.40636,1.51325,1.34998,1.78716,0.009604,0.009604,0.009604
14,3156.13,1.78726,2.18245,1.84595,0.76015,0.66031,0.70416,0.38759,1.50121,1.44935,1.74922,0.009571,0.009571,0.009571
15,3374.46,1.75699,2.13182,1.83606,0.78036,0.68893,0.73774,0.41808,1.48673,1.31404,1.75069,0.009538,0.009538,0.009538
16,3593.34,1.75604,2.11283,1.81153,0.77106,0.69084,0.72048,0.40172,1.48047,1.40953,1.73576,0.009505,0.009505,0.009505
17,3812.73,1.72879,2.08125,1.80547,0.79234,0.73282,0.76551,0.42121,1.43511,1.26365,1.70831,0.009472,0.009472,0.009472
18,4030.96,1.72582,2.08379,1.81566,0.74661,0.69466,0.71707,0.40133,1.4479,1.36482,1.7411,0.009439,0.009439,0.009439
19,4248.82,1.74428,2.09467,1.81947,0.77096,0.72901,0.76056,0.43176,1.42768,1.26359,1.69741,0.009406,0.009406,0.009406
20,4476.57,1.72573,2.03498,1.78849,0.78181,0.71088,0.75224,0.43321,1.41297,1.22279,1.69304,0.009373,0.009373,0.009373
21,4684.89,1.70762,2.03431,1.78521,0.8242,0.71279,0.77733,0.45203,1.40715,1.16477,1.70509,0.00934,0.00934,0.00934
22,4925.69,1.70354,2.00408,1.79419,0.77636,0.71551,0.74767,0.43612,1.43395,1.22151,1.73,0.009307,0.009307,0.009307
23,5161.82,1.70709,1.95039,1.8004,0.7837,0.71851,0.75951,0.45121,1.38195,1.19157,1.65756,0.009274,0.009274,0.009274
24,5389.16,1.68486,1.93637,1.77839,0.79293,0.71983,0.76025,0.45616,1.38074,1.18942,1.67677,0.009241,0.009241,0.009241
25,5620.39,1.67408,1.94058,1.77862,0.79136,0.76145,0.78108,0.46126,1.37725,1.11367,1.68115,0.009208,0.009208,0.009208
26,5845.43,1.66447,1.95093,1.76188,0.81495,0.72615,0.78606,0.47209,1.38303,1.10767,1.66525,0.009175,0.009175,0.009175
27,6064.46,1.67592,1.94826,1.77669,0.78269,0.74046,0.78139,0.47113,1.37072,1.12625,1.67868,0.009142,0.009142,0.009142
28,6295.01,1.6631,1.88383,1.76126,0.8252,0.74323,0.78872,0.47469,1.36343,1.11101,1.65828,0.009109,0.009109,0.009109
29,6518.6,1.65773,1.87419,1.76013,0.79583,0.75191,0.79639,0.4774,1.35363,1.07808,1.65022,0.009076,0.009076,0.009076
30,6749.06,1.66272,1.88139,1.77169,0.79913,0.74905,0.78106,0.47536,1.33877,1.07928,1.66434,0.009043,0.009043,0.009043
31,6976.92,1.65793,1.86982,1.76117,0.80758,0.7609,0.80463,0.48929,1.34373,1.07441,1.65835,0.00901,0.00901,0.00901
32,7199.54,1.6528,1.85224,1.76051,0.8315,0.75095,0.80252,0.49024,1.34722,1.03378,1.65879,0.008977,0.008977,0.008977
33,7431.27,1.63363,1.81003,1.73538,0.82074,0.75859,0.80021,0.48836,1.33853,1.02757,1.64942,0.008944,0.008944,0.008944
34,7651.32,1.62561,1.84959,1.72593,0.80807,0.75286,0.79558,0.50239,1.32041,1.05457,1.64829,0.008911,0.008911,0.008911
35,7899.35,1.62142,1.79134,1.7236,0.81006,0.74046,0.79038,0.49527,1.32337,1.07323,1.62082,0.008878,0.008878,0.008878
36,8142.8,1.64244,1.83898,1.73632,0.79688,0.75244,0.79924,0.49686,1.31179,1.07449,1.60859,0.008845,0.008845,0.008845
37,8369.28,1.63493,1.83045,1.73031,0.82769,0.74253,0.8077,0.50191,1.30685,1.01627,1.60151,0.008812,0.008812,0.008812
38,8574.94,1.63461,1.8421,1.73133,0.81288,0.76336,0.81037,0.50197,1.30766,1.00861,1.62384,0.008779,0.008779,0.008779
39,8773.06,1.62811,1.80776,1.72991,0.80477,0.75954,0.81044,0.50396,1.30744,1.00157,1.6141,0.008746,0.008746,0.008746
40,8970.82,1.60839,1.81382,1.71212,0.79399,0.78703,0.8152,0.5096,1.30809,0.98244,1.61732,0.008713,0.008713,0.008713
41,9169.05,1.62023,1.80338,1.72926,0.80114,0.77385,0.80624,0.50632,1.30028,0.96784,1.61254,0.00868,0.00868,0.00868
42,9377.55,1.62183,1.80377,1.72013,0.82559,0.77236,0.81345,0.5115,1.29608,0.95522,1.60367,0.008647,0.008647,0.008647
43,9599.62,1.56697,1.72223,1.67664,0.818,0.77385,0.81938,0.51625,1.30312,0.95624,1.60479,0.008614,0.008614,0.008614
44,9826.34,1.59565,1.74362,1.69181,0.79536,0.78626,0.82141,0.525,1.2916,0.94447,1.58459,0.008581,0.008581,0.008581
45,10057.3,1.59199,1.77759,1.6977,0.81455,0.77481,0.82296,0.52332,1.29091,0.95706,1.5856,0.008548,0.008548,0.008548
46,10290.4,1.59844,1.75401,1.7084,0.81525,0.7834,0.82507,0.52343,1.29109,0.95163,1.58383,0.008515,0.008515,0.008515
47,10529.3,1.59313,1.76859,1.70984,0.82399,0.78053,0.82562,0.52398,1.28793,0.95351,1.5879,0.008482,0.008482,0.008482
48,10757.7,1.59583,1.72402,1.68568,0.8382,0.76618,0.82767,0.53002,1.29151,0.93733,1.58716,0.008449,0.008449,0.008449
49,10992.7,1.59246,1.74218,1.68811,0.84743,0.7605,0.82939,0.52925,1.2877,0.92992,1.58319,0.008416,0.008416,0.008416
50,11217.8,1.57247,1.74051,1.66541,0.84044,0.7729,0.83318,0.53183,1.28098,0.91805,1.57761,0.008383,0.008383,0.008383
51,11467.7,1.57169,1.72685,1.68201,0.84025,0.77385,0.83972,0.53631,1.27654,0.90942,1.58308,0.00835,0.00835,0.00835
