epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,536.584,1.75396,6.22556,1.43468,0.69724,0.60427,0.63275,0.35265,1.26078,1.49738,1.11252,0.00333167,0.00333167,0.00333167
2,1059.78,1.98843,3.20434,1.58443,0.60275,0.16957,0.24521,0.08571,1.78444,2.69675,1.62815,0.00664891,0.00664891,0.00664891
3,1570.47,2.31215,3.60089,1.86055,0.51602,0.3207,0.32373,0.13548,1.75724,2.68627,1.54791,0.00995005,0.00995005,0.00995005
4,2081.3,2.26611,3.53266,1.86596,0.54949,0.28086,0.32367,0.14807,1.70176,2.45082,1.58821,0.00992756,0.00992756,0.00992756
5,2594.8,2.14682,3.27093,1.77081,0.51866,0.43052,0.43072,0.20531,1.50811,2.16607,1.41887,0.00990341,0.00990341,0.00990341
6,3102.84,2.1076,3.18861,1.75764,0.64014,0.50133,0.52625,0.25521,1.43018,2.13204,1.35888,0.00987927,0.00987927,0.00987927
7,3615.41,2.04236,3.02807,1.68802,0.58897,0.48882,0.49608,0.24967,1.42643,1.98862,1.34052,0.00985512,0.00985512,0.00985512
8,4132.09,1.99483,2.92575,1.6811,0.64576,0.54388,0.56027,0.29657,1.37088,1.92378,1.32173,0.00983098,0.00983098,0.00983098
9,4646.95,1.97024,2.91469,1.67613,0.64843,0.53741,0.57138,0.31498,1.30604,1.80565,1.28834,0.00980683,0.00980683,0.00980683
10,5160.7,1.9158,2.84363,1.62108,0.60531,0.56365,0.57086,0.3086,1.31076,1.86521,1.2861,0.00978268,0.00978268,0.00978268
11,5673.62,1.8915,2.76681,1.62234,0.7215,0.54519,0.61323,0.34394,1.28425,1.66481,1.27048,0.00975854,0.00975854,0.00975854
12,6184.15,1.87148,2.68896,1.60741,0.68996,0.60124,0.62139,0.34627,1.25257,1.82965,1.24392,0.00973439,0.00973439,0.00973439
13,6699.8,1.85924,2.73715,1.59826,0.65808,0.5499,0.587,0.33588,1.24589,1.71875,1.24617,0.00971024,0.00971024,0.00971024
14,7215.61,1.83151,2.6422,1.58165,0.69673,0.56074,0.6108,0.36192,1.22798,1.63635,1.2405,0.0096861,0.0096861,0.0096861
15,7729.89,1.84518,2.68449,1.59206,0.73634,0.57823,0.63808,0.37013,1.21664,1.57208,1.22644,0.00966195,0.00966195,0.00966195
16,8239.06,1.85392,2.68457,1.59225,0.75224,0.60544,0.6712,0.39203,1.18953,1.54438,1.18392,0.0096378,0.0096378,0.0096378
17,8747.88,1.80405,2.61647,1.55625,0.71244,0.60193,0.64671,0.38083,1.1684,1.55163,1.17569,0.00961366,0.00961366,0.00961366
18,9255.6,1.82266,2.59533,1.57234,0.7326,0.61127,0.66532,0.39145,1.18232,1.52354,1.19008,0.00958951,0.00958951,0.00958951
19,9763.06,1.79528,2.57454,1.56275,0.74224,0.59864,0.66577,0.39337,1.17686,1.48101,1.19647,0.00956537,0.00956537,0.00956537
20,10267.3,1.78109,2.54982,1.52526,0.76111,0.61516,0.67266,0.40347,1.16545,1.42783,1.18241,0.00954122,0.00954122,0.00954122
21,10773.1,1.77911,2.45338,1.55074,0.75038,0.62225,0.67708,0.40303,1.15914,1.43573,1.17603,0.00951707,0.00951707,0.00951707
22,11280.4,1.79283,2.49919,1.55029,0.75114,0.65015,0.69518,0.41604,1.14606,1.39813,1.16595,0.00949293,0.00949293,0.00949293
23,11783.7,1.77942,2.49619,1.53473,0.75442,0.65792,0.70105,0.4208,1.1411,1.39392,1.16607,0.00946878,0.00946878,0.00946878
24,12284.7,1.72778,2.44068,1.50737,0.77526,0.65037,0.70862,0.42277,1.13367,1.37918,1.15885,0.00944463,0.00944463,0.00944463
25,12787.7,1.74852,2.43096,1.51904,0.76656,0.66059,0.70839,0.43219,1.12792,1.38613,1.14976,0.00942049,0.00942049,0.00942049
26,13286.9,1.7545,2.41509,1.52572,0.7849,0.65603,0.71564,0.43425,1.13023,1.39187,1.15038,0.00939634,0.00939634,0.00939634
27,13789.9,1.73113,2.43573,1.50893,0.78105,0.65695,0.71196,0.43437,1.12876,1.37908,1.15043,0.0093722,0.0093722,0.0093722
28,14293.5,1.77646,2.42098,1.54432,0.77573,0.66667,0.71191,0.43023,1.13139,1.36291,1.15494,0.00934805,0.00934805,0.00934805
29,14790.9,1.71623,2.37758,1.50541,0.76905,0.66764,0.71367,0.43202,1.13159,1.36143,1.15545,0.0093239,0.0093239,0.0093239
30,15295.9,1.72977,2.38546,1.50484,0.76839,0.67384,0.7168,0.43504,1.12759,1.35556,1.15276,0.00929976,0.00929976,0.00929976
31,15801.7,1.72292,2.39047,1.5079,0.77305,0.66958,0.71616,0.43594,1.12657,1.35854,1.15356,0.00927561,0.00927561,0.00927561
32,16304.6,1.73234,2.34612,1.51431,0.77209,0.66831,0.7164,0.43747,1.1236,1.35727,1.15174,0.00925146,0.00925146,0.00925146
33,16808.3,1.74426,2.34863,1.52178,0.77081,0.67055,0.71838,0.44058,1.11916,1.34866,1.14925,0.00922732,0.00922732,0.00922732
34,17314.2,1.73304,2.33719,1.51638,0.77813,0.66181,0.71992,0.44272,1.11553,1.33988,1.14645,0.00920317,0.00920317,0.00920317
35,17819.5,1.75669,2.3745,1.52268,0.77429,0.66667,0.72138,0.44245,1.11173,1.33371,1.1446,0.00917902,0.00917902,0.00917902
36,18324,1.7231,2.2806,1.50699,0.78586,0.65979,0.72292,0.44387,1.10857,1.32382,1.14258,0.00915488,0.00915488,0.00915488
37,18831.3,1.7152,2.28733,1.50797,0.78531,0.65986,0.72451,0.4472,1.10773,1.31583,1.14184,0.00913073,0.00913073,0.00913073
38,19330.2,1.71574,2.28866,1.50253,0.78608,0.66861,0.72447,0.44778,1.10716,1.31083,1.14135,0.00910659,0.00910659,0.00910659
39,19834.9,1.71596,2.32794,1.51095,0.78494,0.6725,0.72504,0.44753,1.10615,1.3026,1.14143,0.00908244,0.00908244,0.00908244
40,20340.3,1.70263,2.23764,1.49591,0.79273,0.66472,0.72665,0.44837,1.10508,1.29843,1.14137,0.00905829,0.00905829,0.00905829
41,20798,1.71379,2.32875,1.50013,0.7945,0.66764,0.72889,0.44881,1.10352,1.29514,1.14062,0.00903415,0.00903415,0.00903415
