epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5302,2.31581,3.05036,1.71292,0.74062,0.6278,0.70329,0.38757,1.6529,1.27745,1.34364,0.00332268,0.00332268,0.00332268
2,165.569,1.92752,1.64596,1.38782,0.72499,0.61472,0.68259,0.35201,1.612,1.40068,1.31081,0.00663954,0.00663954,0.00663954
3,244.731,1.99189,1.7757,1.43045,0.56203,0.52541,0.51216,0.23747,1.85515,2.11859,1.48129,0.0099399,0.0099399,0.0099399
4,322.945,2.06543,1.87829,1.49132,0.58815,0.5568,0.55735,0.26617,1.8363,1.914,1.42385,0.00992575,0.00992575,0.00992575
5,401.004,2.0447,1.8103,1.49287,0.60048,0.48655,0.54766,0.29933,1.79041,1.62707,1.41099,0.009901,0.009901,0.009901
6,479.061,2.00818,1.75148,1.47959,0.67886,0.61809,0.65091,0.34467,1.69762,1.66516,1.41064,0.00987625,0.00987625,0.00987625
7,556.803,1.96335,1.67111,1.4625,0.71982,0.61253,0.67997,0.38303,1.64502,1.36405,1.38458,0.0098515,0.0098515,0.0098515
8,635.04,1.95095,1.64026,1.44346,0.71309,0.63602,0.67518,0.37766,1.60557,1.41783,1.34156,0.00982675,0.00982675,0.00982675
9,712.879,1.91542,1.58118,1.4285,0.7139,0.64899,0.71019,0.40587,1.6278,1.25609,1.35077,0.009802,0.009802,0.009802
10,790.311,1.89605,1.57361,1.41974,0.7311,0.64948,0.71111,0.41062,1.59082,1.23798,1.35939,0.00977725,0.00977725,0.00977725
11,868.435,1.86616,1.5034,1.38585,0.72509,0.64461,0.70387,0.41165,1.55215,1.23453,1.31646,0.0097525,0.0097525,0.0097525
12,946.046,1.8187,1.46387,1.35458,0.71979,0.61626,0.68616,0.40073,1.56466,1.20197,1.31655,0.00972775,0.00972775,0.00972775
13,1023.55,1.83716,1.48268,1.37033,0.75975,0.69058,0.75813,0.45278,1.51361,1.11081,1.30639,0.009703,0.009703,0.009703
14,1101.57,1.82178,1.47566,1.38125,0.73389,0.6577,0.72901,0.41962,1.52801,1.19611,1.30898,0.00967825,0.00967825,0.00967825
15,1179.13,1.80858,1.44743,1.37058,0.76647,0.69731,0.77873,0.4643,1.49392,1.11752,1.28196,0.0096535,0.0096535,0.0096535
16,1256.53,1.78494,1.40698,1.34937,0.76151,0.70254,0.76861,0.45413,1.52053,1.11245,1.32337,0.00962875,0.00962875,0.00962875
17,1334.36,1.7758,1.38567,1.33596,0.76516,0.69357,0.7638,0.45842,1.47451,1.09513,1.29418,0.009604,0.009604,0.009604
18,1411.85,1.77433,1.38704,1.34415,0.75942,0.72428,0.77605,0.48249,1.46791,1.03447,1.29305,0.00957925,0.00957925,0.00957925
19,1489.51,1.75233,1.37446,1.3234,0.77023,0.68984,0.76602,0.47959,1.45667,1.07642,1.2715,0.0095545,0.0095545,0.0095545
20,1567.4,1.75116,1.3492,1.32315,0.77294,0.6971,0.76972,0.46064,1.47145,1.07997,1.29414,0.00952975,0.00952975,0.00952975
21,1644.86,1.75891,1.36667,1.34317,0.77376,0.67481,0.75674,0.46407,1.46429,1.07788,1.26881,0.009505,0.009505,0.009505
22,1722.6,1.73479,1.3388,1.31512,0.79013,0.71752,0.79218,0.48059,1.45719,1.06237,1.29373,0.00948025,0.00948025,0.00948025
23,1800.03,1.74274,1.34158,1.32535,0.7678,0.71674,0.77183,0.46605,1.49881,1.05359,1.28605,0.0094555,0.0094555,0.0094555
24,1877.94,1.72982,1.32632,1.30619,0.77572,0.72896,0.79247,0.4893,1.42711,1.04736,1.27067,0.00943075,0.00943075,0.00943075
25,1956.49,1.71716,1.30489,1.31762,0.79946,0.72496,0.79337,0.48176,1.47919,1.03286,1.29696,0.009406,0.009406,0.009406
26,2034.16,1.71556,1.31415,1.30797,0.72298,0.6988,0.75244,0.45663,1.44338,1.12511,1.24831,0.00938125,0.00938125,0.00938125
27,2111.74,1.6888,1.29101,1.3075,0.75614,0.66442,0.74371,0.4729,1.41361,1.0666,1.23329,0.0093565,0.0093565,0.0093565
28,2189.28,1.69744,1.27293,1.29501,0.78061,0.74215,0.80633,0.50653,1.40768,0.99154,1.24712,0.00933175,0.00933175,0.00933175
29,2266.77,1.66867,1.25042,1.29015,0.77895,0.719,0.78677,0.49446,1.4229,1.01005,1.25372,0.009307,0.009307,0.009307
30,2344.2,1.67365,1.25815,1.29403,0.77726,0.72496,0.78414,0.49857,1.43186,0.98027,1.28357,0.00928225,0.00928225,0.00928225
31,2422.12,1.67779,1.2454,1.29296,0.79551,0.72795,0.80804,0.48941,1.42816,0.99279,1.24418,0.0092575,0.0092575,0.0092575
32,2499.25,1.64868,1.23257,1.27753,0.8001,0.73991,0.80764,0.51245,1.39179,0.97991,1.24367,0.00923275,0.00923275,0.00923275
33,2576.93,1.65914,1.21782,1.27184,0.82466,0.72197,0.80428,0.5005,1.4026,0.99536,1.24605,0.009208,0.009208,0.009208
34,2654.58,1.65099,1.22253,1.28121,0.77964,0.7113,0.8013,0.5097,1.3831,0.96757,1.24279,0.00918325,0.00918325,0.00918325
35,2731.78,1.64023,1.20276,1.27673,0.79514,0.73392,0.80809,0.50124,1.42388,0.94279,1.24308,0.0091585,0.0091585,0.0091585
36,2809.65,1.65969,1.23426,1.26878,0.80491,0.77877,0.82344,0.5119,1.40887,0.92965,1.24552,0.00913375,0.00913375,0.00913375
37,2887.2,1.65686,1.20799,1.27726,0.80172,0.75635,0.82568,0.52417,1.37751,0.91988,1.2334,0.009109,0.009109,0.009109
38,2964.52,1.64378,1.19143,1.26519,0.80182,0.76009,0.82078,0.51958,1.39203,0.93382,1.23268,0.00908425,0.00908425,0.00908425
39,3042.44,1.64427,1.20414,1.26607,0.80997,0.7486,0.82417,0.52837,1.36894,0.91408,1.21877,0.0090595,0.0090595,0.0090595
40,3120.43,1.63138,1.19523,1.25979,0.77765,0.74439,0.80312,0.51018,1.3704,0.95007,1.22925,0.00903475,0.00903475,0.00903475
41,3198.21,1.62004,1.17464,1.26066,0.78793,0.76084,0.82376,0.52624,1.35249,0.90449,1.22243,0.00901,0.00901,0.00901
42,3276.03,1.62153,1.19288,1.25358,0.78506,0.72646,0.80019,0.50124,1.40317,0.99723,1.23735,0.00898525,0.00898525,0.00898525
43,3353.44,1.60923,1.16105,1.24978,0.80258,0.71098,0.79749,0.51461,1.36151,0.93869,1.21503,0.0089605,0.0089605,0.0089605
44,3431.37,1.62561,1.16763,1.26289,0.79767,0.69283,0.77875,0.50967,1.3479,0.94915,1.19971,0.00893575,0.00893575,0.00893575
45,3509.65,1.59833,1.15613,1.24732,0.8119,0.75336,0.82652,0.52904,1.3375,0.93378,1.19548,0.008911,0.008911,0.008911
46,3587.35,1.60604,1.16853,1.23478,0.80582,0.75988,0.82656,0.53012,1.36502,0.90713,1.21308,0.00888625,0.00888625,0.00888625
47,3665.5,1.60473,1.15916,1.24606,0.79886,0.75262,0.8263,0.54693,1.32079,0.88339,1.1894,0.0088615,0.0088615,0.0088615
48,3743.12,1.59125,1.14105,1.23933,0.80336,0.78471,0.8374,0.53833,1.3427,0.88236,1.20703,0.00883675,0.00883675,0.00883675
49,3820.73,1.57681,1.13241,1.22839,0.81774,0.76453,0.84038,0.54184,1.34851,0.88412,1.20481,0.008812,0.008812,0.008812
50,3898.81,1.60956,1.15214,1.2494,0.78864,0.80593,0.84098,0.54292,1.33575,0.88997,1.20265,0.00878725,0.00878725,0.00878725
51,3976.4,1.59009,1.14014,1.23387,0.80056,0.77728,0.83618,0.53789,1.33712,0.90249,1.20805,0.0087625,0.0087625,0.0087625
52,4054.24,1.58591,1.14463,1.2395,0.78974,0.72144,0.80584,0.52115,1.3323,0.90029,1.19396,0.00873775,0.00873775,0.00873775
53,4132.25,1.58671,1.14744,1.2284,0.81031,0.77901,0.84584,0.55648,1.324,0.83211,1.20346,0.008713,0.008713,0.008713
54,4209.79,1.58504,1.12879,1.23662,0.82194,0.77354,0.83989,0.5445,1.32809,0.85255,1.19941,0.00868825,0.00868825,0.00868825
55,4287.36,1.56653,1.11676,1.23635,0.81411,0.77903,0.84534,0.55808,1.31223,0.84712,1.19168,0.0086635,0.0086635,0.0086635
56,4365.51,1.57594,1.12124,1.22543,0.83092,0.75561,0.836,0.5466,1.33307,0.84349,1.19061,0.00863875,0.00863875,0.00863875
57,4443.19,1.59194,1.12599,1.22517,0.81929,0.76906,0.84299,0.55142,1.31079,0.85992,1.18696,0.008614,0.008614,0.008614
58,4521.02,1.58106,1.11706,1.23117,0.80577,0.79223,0.84273,0.54861,1.31542,0.84976,1.19659,0.00858925,0.00858925,0.00858925
59,4599.18,1.56204,1.11444,1.22975,0.83409,0.77354,0.84622,0.55877,1.29967,0.83151,1.18589,0.0085645,0.0085645,0.0085645
60,4676.98,1.55008,1.09462,1.21605,0.82414,0.7728,0.84788,0.56118,1.31341,0.85029,1.1831,0.00853975,0.00853975,0.00853975
61,4754.71,1.56533,1.11611,1.22453,0.81064,0.77748,0.84322,0.55439,1.31947,0.86913,1.18519,0.008515,0.008515,0.008515
62,4832.36,1.55372,1.09812,1.21827,0.83474,0.76906,0.84282,0.55177,1.28157,0.85027,1.17386,0.00849025,0.00849025,0.00849025
63,4909.87,1.53042,1.08698,1.20893,0.81832,0.79148,0.85417,0.5658,1.27444,0.84672,1.16894,0.0084655,0.0084655,0.0084655
64,4987.78,1.55697,1.09487,1.22992,0.82525,0.76831,0.84196,0.57165,1.28191,0.83819,1.17741,0.00844075,0.00844075,0.00844075
