epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.4662,2.14701,2.92029,1.69178,0.82619,0.54709,0.68703,0.42481,1.62415,1.17955,1.32091,0.00332534,0.00332534,0.00332534
2,180.788,1.77362,1.51708,1.39361,0.87971,0.36622,0.61754,0.35413,1.8145,1.34105,1.41092,0.00663888,0.00663888,0.00663888
3,264.678,1.86493,1.6588,1.44521,0.80825,0.29297,0.54773,0.28373,1.96341,1.67794,1.50497,0.00993259,0.00993259,0.00993259
4,349.135,1.94095,1.77129,1.53081,0.63644,0.55904,0.59974,0.31657,1.76907,1.87578,1.48073,0.00991081,0.00991081,0.00991081
5,432.925,1.90734,1.6931,1.52696,0.778,0.59193,0.68922,0.38396,1.73661,1.42755,1.43422,0.00988108,0.00988108,0.00988108
6,516.858,1.87204,1.61191,1.49773,0.8106,0.53737,0.67783,0.40901,1.65916,1.2622,1.41254,0.00985135,0.00985135,0.00985135
7,601.019,1.83788,1.54063,1.48428,0.83528,0.58744,0.71075,0.42825,1.63889,1.27836,1.39378,0.00982162,0.00982162,0.00982162
8,685.019,1.7886,1.45586,1.46917,0.8195,0.63453,0.72139,0.44224,1.59413,1.22409,1.37031,0.00979189,0.00979189,0.00979189
9,768.993,1.77613,1.47162,1.45787,0.84279,0.43274,0.63464,0.37811,1.64048,1.3896,1.40824,0.00976216,0.00976216,0.00976216
10,852.766,1.73585,1.40873,1.44446,0.81299,0.5426,0.67483,0.3974,1.66176,1.28679,1.36434,0.00973243,0.00973243,0.00973243
11,936.726,1.71491,1.37168,1.4187,0.78224,0.6846,0.74191,0.4519,1.53407,1.14494,1.33374,0.0097027,0.0097027,0.0097027
12,1020.77,1.68474,1.34195,1.39558,0.8267,0.65247,0.74957,0.46242,1.56348,1.1453,1.33949,0.00967297,0.00967297,0.00967297
13,1105.13,1.68758,1.30758,1.40502,0.81918,0.6704,0.74616,0.46482,1.51533,1.05162,1.33188,0.00964324,0.00964324,0.00964324
14,1188.99,1.67059,1.29405,1.38868,0.83005,0.66069,0.75428,0.4783,1.50052,1.06216,1.31985,0.00961351,0.00961351,0.00961351
15,1272.53,1.63159,1.25417,1.37409,0.82519,0.6562,0.75159,0.4805,1.52021,1.08044,1.32436,0.00958378,0.00958378,0.00958378
16,1356.25,1.62803,1.25194,1.37722,0.81105,0.68012,0.75564,0.49198,1.49122,1.04684,1.31067,0.00955405,0.00955405,0.00955405
17,1440.81,1.62166,1.22807,1.3642,0.78783,0.75486,0.79431,0.51278,1.44599,1.0164,1.28884,0.00952432,0.00952432,0.00952432
